chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
75.0,75.0,438098,0,0,0,0,0,3,2.3,2.3,0,Fábio,0,1,false,Hip injury - 75% chance of playing,2024-08-12T17:00:05.432893Z,55,438098.jpg,0,Ferreira Vieira,0.0,false,,d,1,3,0,43,43,519,519,0.0,0.0,Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,574,254,583,257,573,250,583,257,,"",,"",4.0,"",0.0,0,0.0,0.0,0.0,0.0,148,91,579,257,579,257,563,244,0.0,0.0
,,205651,0,0,0,0,0,4,3.2,3.2,0,Gabriel,0,2,false,"",,70,205651.jpg,0,Fernando de Jesus,2.1,false,,a,1,3,0,7063,7063,36101,36101,0.0,0.0,G.Jesus,5,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.8,0,0.1,0,0.0,0.0,0.0,0.15,281,26,230,23,615,68,292,33,,"",,"",,"",0.0,0,0.0,0.0,2.7,0.0,30,13,613,67,613,67,130,19,0.0,0.0
,,226597,0,0,0,0,0,2,4.2,4.2,6,Gabriel,6,3,false,"",,60,226597.jpg,6,dos Santos Magalhães,13.4,false,,a,1,3,6,20055,20055,26947,26947,1.0,1.0,Gabriel,90,0,0,1,0,0,0,0,0,0,0,0,22,13.8,1.4,8,2.3,1,0.12,0.02,0.14,0.47,119,51,193,52,95,16,164,45,,"",,"",,"",0.12,0,0.02,0.14,0.47000000000000003,0.0,83,6,48,19,48,19,31,8,1.0,1.0
,,219847,0,0,0,0,1,4,3.5,3.5,12,Kai,12,4,true,"",,80,219847.jpg,12,Havertz,15.2,false,,a,1,3,12,174869,174869,25951,25951,1.5,1.5,Havertz,90,1,1,1,0,0,0,0,0,0,0,3,48,54.8,24.1,46,12.5,1,0.45,0.04,0.49,0.47,5,2,37,2,9,3,5,1,,"",,"",3.0,"",0.45,0,0.04,0.49,0.47000000000000003,0.0,12,4,3,2,3,2,29,6,1.0,1.0
0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0,5,false,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0,Hein,0.1,false,,u,1,3,0,0,0,840,840,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,328,43,319,24,245,24,339,43,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,596,62,337,44,337,44,491,61,0.0,0.0
,,445122,0,0,0,0,0,2,3.8,3.8,1,Jurriën,1,6,false,"",,55,445122.jpg,1,Timber,0.8,false,,a,1,3,1,2373,2373,6651,6651,0.2,0.2,J.Timber,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,8,0.8,0,0.02,0.01,0.03,0.15,577,201,229,71,91,15,257,89,,"",,"",,"",0.09,0,0.04,0.13,0.64,0.0,153,18,268,90,268,90,196,70,0.0,0.0
,,85955,0,0,0,0,0,3,2.6,2.6,0,Jorge Luiz,0,7,false,"",,50,85955.jpg,0,Frello Filho,0.3,false,,a,1,3,0,1738,1738,4211,4211,0.0,0.0,Jorginho,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,486,201,492,207,450,176,497,204,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,184,115,499,206,499,206,303,99,0.0,0.0
,,440854,0,0,0,0,0,2,3.4,3.4,0,Jakub,0,8,false,"",,50,440854.jpg,0,Kiwior,0.2,false,,a,1,3,0,451,451,2319,2319,0.0,0.0,Kiwior,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,527,193,539,195,511,191,539,195,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,274,37,538,193,538,193,367,139,0.0,0.0
,,444145,0,0,0,0,0,3,3.5,3.5,3,Gabriel,3,9,false,"",,70,444145.jpg,3,Martinelli Silva,3.0,false,,a,1,3,3,11559,11559,16227,16227,0.4,0.4,Martinelli,90,0,0,1,0,0,0,0,0,0,0,0,16,13.6,36.7,25,7.5,1,0.08,0.19,0.27,0.47,123,42,19,17,33,23,25,19,,"",,"",,"",0.08,0,0.19,0.27,0.47000000000000003,0.0,33,18,84,38,84,38,104,35,1.0,1.0
,,200641,0,0,0,0,0,3,2.6,2.6,0,Reiss,0,10,false,"",,50,200641.jpg,0,Nelson,0.0,false,,a,1,3,0,171,171,463,463,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,504,214,515,221,478,194,515,217,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,223,143,517,219,517,219,529,217,0.0,0.0
