id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,__index_level_0__
11,2444481,2,,1,,2,false,0,false,2024-08-24T16:30:00.000000000+0000,Gameweek 2,false,4,0
21,2444490,1,,5,,3,false,0,false,2024-08-31T11:30:00.000000000+0000,Gameweek 3,true,2,1
39,2444508,18,,1,,4,false,0,false,2024-09-15T13:00:00.000000000+0000,Gameweek 4,false,4,2
47,2444516,13,,1,,5,false,0,false,2024-09-22T15:30:00.000000000+0000,Gameweek 5,false,5,3
51,2444521,1,,11,,6,false,0,false,2024-09-28T14:00:00.000000000+0000,Gameweek 6,true,2,4
61,2444530,1,,17,,7,false,0,false,2024-10-05T14:00:00.000000000+0000,Gameweek 7,true,2,5
71,2444540,3,,1,,8,false,0,false,2024-10-20T13:00:00.000000000+0000,Gameweek 8,false,2,6
81,2444550,1,,12,,9,false,0,false,2024-10-27T16:30:00.000000000+0000,Gameweek 9,true,4,7
96,2444565,15,,1,,10,false,0,false,2024-11-02T15:00:00.000000000+0000,Gameweek 10,false,4,8
103,2444572,6,,1,,11,false,0,false,2024-11-09T15:00:00.000000000+0000,Gameweek 11,false,4,9
111,2444581,1,,16,,12,false,0,false,2024-11-23T15:00:00.000000000+0000,Gameweek 12,true,2,10
129,2444598,19,,1,,13,false,0,false,2024-11-30T15:00:00.000000000+0000,Gameweek 13,false,2,11
131,2444601,1,,14,,14,false,0,false,2024-12-03T19:45:00.000000000+0000,Gameweek 14,true,3,12
145,2444614,9,,1,,15,false,0,false,2024-12-07T15:00:00.000000000+0000,Gameweek 15,false,3,13
151,2444621,1,,8,,16,false,0,false,2024-12-14T15:00:00.000000000+0000,Gameweek 16,true,2,14
163,2444632,7,,1,,17,false,0,false,2024-12-21T15:00:00.000000000+0000,Gameweek 17,false,3,15
171,2444641,1,,10,,18,false,0,false,2024-12-26T15:00:00.000000000+0000,Gameweek 18,true,2,16
182,2444651,4,,1,,19,false,0,false,2024-12-29T15:00:00.000000000+0000,Gameweek 19,false,2,17
193,2444662,5,,1,,20,false,0,false,2025-01-04T15:00:00.000000000+0000,Gameweek 20,false,2,18
201,2444670,1,,18,,21,false,0,false,2025-01-14T19:45:00.000000000+0000,Gameweek 21,true,3,19
211,2444680,1,,2,,22,false,0,false,2025-01-18T15:00:00.000000000+0000,Gameweek 22,true,3,20
230,2444699,20,,1,,23,false,0,false,2025-01-25T15:00:00.000000000+0000,Gameweek 23,false,2,21
231,2444701,1,,13,,24,false,0,false,2025-02-01T15:00:00.000000000+0000,Gameweek 24,true,5,22
245,2444714,11,,1,,25,false,0,false,2025-02-15T15:00:00.000000000+0000,Gameweek 25,false,2,23
251,2444721,1,,19,,26,false,0,false,2025-02-22T15:00:00.000000000+0000,Gameweek 26,true,2,24
264,2444733,16,,1,,27,false,0,false,2025-02-25T19:45:00.000000000+0000,Gameweek 27,false,2,25
276,2444745,14,,1,,28,false,0,false,2025-03-08T15:00:00.000000000+0000,Gameweek 28,false,3,26
281,2444751,1,,6,,29,false,0,false,2025-03-15T15:00:00.000000000+0000,Gameweek 29,true,3,27
291,2444761,1,,9,,30,false,0,false,2025-04-01T18:45:00.000000000+0000,Gameweek 30,true,2,28
304,2444773,8,,1,,31,false,0,false,2025-04-05T14:00:00.000000000+0000,Gameweek 31,false,3,29
311,2444781,1,,4,,32,false,0,false,2025-04-12T14:00:00.000000000+0000,Gameweek 32,true,2,30
326,2444795,10,,1,,33,false,0,false,2025-04-19T14:00:00.000000000+0000,Gameweek 33,false,2,31
