player_name,scraped_at,gameweek,position,position_order
Sels,2025-08-06T10:45:47.715780,1,Goalkeeper,1
Dubravka,2025-08-06T10:45:47.715792,1,Goalkeeper,2
Diouf,2025-08-06T10:45:47.715793,1,Defender,3
Porro,2025-08-06T10:45:47.715794,1,Defender,4
Tarkowski,2025-08-06T10:45:47.715795,1,Defender,5
Rodon,2025-08-06T10:45:47.715796,1,Defender,6
Cuyper,2025-08-06T10:45:47.715797,1,Defender,7
Potts,2025-08-06T10:45:47.715797,1,Midfielder,8
Salah,2025-08-06T10:45:47.715798,1,Midfielder,9
Palmer,2025-08-06T10:45:47.715799,1,Midfielder,10
Kudus,2025-08-06T10:45:47.715800,1,Midfielder,11
Ndiaye,2025-08-06T10:45:47.715801,1,Midfielder,12
Bowen,2025-08-06T10:45:47.715801,1,Forward,13
Watkins,2025-08-06T10:45:47.715802,1,Forward,14
Wood,2025-08-06T10:45:47.715803,1,Forward,15
