id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
9,2561903,14,,1,,1,False,0,False,2025-08-17T15:30:00Z,Gameweek 1,False,3,1
11,2561906,1,,11,,2,False,0,False,2025-08-23T16:30:00Z,Gameweek 2,True,2,1
25,2561919,12,,1,,3,False,0,False,2025-08-31T15:30:00Z,Gameweek 3,False,5,1
31,2561926,1,,16,,4,False,0,False,2025-09-13T11:30:00Z,Gameweek 4,True,3,1
41,2561936,1,,13,,5,False,0,False,2025-09-21T15:30:00Z,Gameweek 5,True,4,1
58,2561952,15,,1,,6,False,0,False,2025-09-28T15:30:00Z,Gameweek 6,False,4,1
61,2561956,1,,19,,7,False,0,False,2025-10-04T14:00:00Z,Gameweek 7,True,2,1
74,2561968,10,,1,,8,False,0,False,2025-10-18T14:00:00Z,Gameweek 8,False,3,1
81,2561976,1,,8,,9,False,0,False,2025-10-25T14:00:00Z,Gameweek 9,True,3,1
92,2561986,3,,1,,10,False,0,False,2025-11-01T15:00:00Z,Gameweek 10,False,2,1
108,2562002,17,,1,,11,False,0,False,2025-11-08T15:00:00Z,Gameweek 11,False,2,1
111,2562006,1,,18,,12,False,0,False,2025-11-22T15:00:00Z,Gameweek 12,True,3,1
123,2562017,7,,1,,13,False,0,False,2025-11-29T15:00:00Z,Gameweek 13,False,4,1
131,2562026,1,,5,,14,False,0,False,2025-12-03T20:00:00Z,Gameweek 14,True,3,1
141,2562036,2,,1,,15,False,0,False,2025-12-06T15:00:00Z,Gameweek 15,False,4,1
151,2562045,1,,20,,16,False,0,False,2025-12-13T15:00:00Z,Gameweek 16,True,2,1
164,2562058,9,,1,,17,False,0,False,2025-12-20T15:00:00Z,Gameweek 17,False,3,1
171,2562065,1,,6,,18,False,0,False,2025-12-27T15:00:00Z,Gameweek 18,True,3,1
181,2562075,1,,2,,19,False,0,False,2025-12-30T20:00:00Z,Gameweek 19,True,3,1
192,2562085,4,,1,,20,False,0,False,2026-01-03T15:00:00Z,Gameweek 20,False,3,1
201,2562096,1,,12,,21,False,0,False,2026-01-07T20:00:00Z,Gameweek 21,True,4,1
217,2562111,16,,1,,22,False,0,False,2026-01-17T15:00:00Z,Gameweek 22,False,3,1
221,2562116,1,,14,,23,False,0,False,2026-01-24T15:00:00Z,Gameweek 23,True,3,1
234,2562128,11,,1,,24,False,0,False,2026-01-31T15:00:00Z,Gameweek 24,False,2,1
241,2562136,1,,17,,25,False,0,False,2026-02-07T15:00:00Z,Gameweek 25,True,2,1
252,2562146,5,,1,,26,False,0,False,2026-02-11T20:00:00Z,Gameweek 26,False,3,1
269,2562163,18,,1,,27,False,0,False,2026-02-21T15:00:00Z,Gameweek 27,False,3,1
271,2562166,1,,7,,28,False,0,False,2026-02-28T15:00:00Z,Gameweek 28,True,3,1
283,2562177,6,,1,,29,False,0,False,2026-03-04T20:00:00Z,Gameweek 29,False,3,1
291,2562185,1,,9,,30,False,0,False,2026-03-14T15:00:00Z,Gameweek 30,True,2,1
310,2562204,20,,1,,31,False,0,False,2026-03-21T15:00:00Z,Gameweek 31,False,3,1
311,2562205,1,,4,,32,False,0,False,2026-04-11T14:00:00Z,Gameweek 32,True,3,1
327,2562221,13,,1,,33,False,0,False,2026-04-18T14:00:00Z,Gameweek 33,False,4,1
331,2562226,1,,15,,34,False,0,False,2026-04-25T14:00:00Z,Gameweek 34,True,3,1
341,2562236,1,,10,,35,False,0,False,2026-05-02T14:00:00Z,Gameweek 35,True,3,1
360,2562254,19,,1,,36,False,0,False,2026-05-09T14:00:00Z,Gameweek 36,False,2,1
361,2562256,1,,3,,37,False,0,False,2026-05-17T14:00:00Z,Gameweek 37,True,2,1
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,1
9,2561903,14,,1,,1,False,0,False,2025-08-17T15:30:00Z,Gameweek 1,False,3,2
11,2561906,1,,11,,2,False,0,False,2025-08-23T16:30:00Z,Gameweek 2,True,2,2
25,2561919,12,,1,,3,False,0,False,2025-08-31T15:30:00Z,Gameweek 3,False,5,2
31,2561926,1,,16,,4,False,0,False,2025-09-13T11:30:00Z,Gameweek 4,True,3,2
