id,first_name,second_name,team_name,team_short,position,now_cost,total_points,selected_by_percent,form,minutes
1,David,Raya Martín,Arsenal,ARS,Goalkeeper,55,142,18.3,0.0,3420
2,Kepa,Arrizabalaga Revuelta,Arsenal,ARS,Goalkeeper,45,106,1.0,0.0,2790
3,Karl,Hein,Arsenal,ARS,Goalkeeper,40,0,0.6,0.0,0
4,Tommy,Setford,Arsenal,ARS,Goalkeeper,40,0,0.2,0.0,0
5,Gabriel,dos Santos Magalhães,Arsenal,ARS,Defender,60,117,23.8,0.0,2363
6,William,Saliba,Arsenal,ARS,Defender,60,130,13.9,0.0,3039
7,Riccardo,Calafiori,Arsenal,ARS,Defender,55,39,0.6,0.0,978
8,Jurriën,Timber,Arsenal,ARS,Defender,55,114,2.3,0.0,2415
9,Jakub,Kiwior,Arsenal,ARS,Defender,55,43,0.1,0.0,1117
10,Myles,Lewis-Skelly,Arsenal,ARS,Defender,55,37,5.7,0.0,1362
11,Benjamin,White,Arsenal,ARS,Defender,55,50,0.8,0.0,1195
12,Oleksandr,Zinchenko,Arsenal,ARS,Defender,50,40,0.3,0.0,518
13,Brayden,Clarke,Arsenal,ARS,Defender,40,0,0.7,0.0,0
14,Maldini,Kacurri,Arsenal,ARS,Defender,40,0,0.3,0.0,0
15,Josh,Nichols,Arsenal,ARS,Defender,40,0,0.2,0.0,0
16,Bukayo,Saka,Arsenal,ARS,Midfielder,100,127,16.0,0.0,1724
17,Martin,Ødegaard,Arsenal,ARS,Midfielder,80,116,3.3,0.0,2321
18,Noni,Madueke,Arsenal,ARS,Midfielder,70,120,1.7,0.0,2028
19,Gabriel,Martinelli Silva,Arsenal,ARS,Midfielder,70,125,1.4,0.0,2284
20,Leandro,Trossard,Arsenal,ARS,Midfielder,70,152,1.5,0.0,2546
21,Declan,Rice,Arsenal,ARS,Midfielder,65,127,7.4,0.0,2823
22,Mikel,Merino Zazón,Arsenal,ARS,Midfielder,60,92,0.9,0.0,1575
23,Fábio,Ferreira Vieira,Arsenal,ARS,Midfielder,55,0,0.1,0.0,0
24,Christian,Nørgaard,Arsenal,ARS,Midfielder,55,107,0.7,0.0,2820
25,Ethan,Nwaneri,Arsenal,ARS,Midfielder,55,66,0.5,0.0,882
26,Martín,Zubimendi Ibáñez,Arsenal,ARS,Midfielder,55,0,1.7,0.0,0
